conceptID,concept,rank,PMID
,recently,1,22043202
,interest,1,22043202
,biology,1,22043202
,context,1,22043202
,cardiovascular,1,22043202
,cardiovascular system,1,22043202
,system,1,22043202
,review,1,22043202
,advances,1,22043202
,basilar,2,21990788
,reconstruction,1,21990788
,traumatic,1,21990788
,vertebral,1,21990788
,dissection,1,21990788
,large,1,21990788
,basilar artery,1,21990788
,basilar artery thrombosis,1,21990788
,artery,1,21990788
,thrombosis,1,21990788
,individual,1,21990788
,30s,1,21990788
,quadriplegia,1,21990788
,coma,1,21990788
,angiography,1,21990788
,vertebral,2,21990788
,vertebral artery,2,21990788
,vertebral artery dissection,1,21990788
,artery,3,21990788
,artery dissection,1,21990788
,dissection,1,21990788
,vertebral artery occlusion,1,21990788
,artery occlusion,1,21990788
,occlusion,1,21990788
,thrombolysis,1,21990788
,myocardial,1,21990788
,myocardial infarction,1,21990788
,infarction,2,21990788
,basilar,1,21990788
,basilar artery,1,21990788
,basilar artery thrombosis,1,21990788
,thrombosis,1,21990788
,deployment,1,21990788
,intracranial,1,21990788
,stents,1,21990788
,right,1,21990788
,left,1,21990788
,left v3,1,21990788
,recanalization,2,21990788
,postoperative,1,21990788
,postoperative mri,1,21990788
,mri,1,21990788
,large,1,21990788
,brainstem,2,21990788
,brainstem infarction,1,21990788
,patient,2,21990788
,months,1,21990788
,ambulation,1,21990788
,independence,1,21990788
,aggressive,1,21990788
,symptomatic,1,21990788
,vertebrobasilar,1,21990788
,major,1,21990788
,imaging,1,21990788
,lesions,1,21990788
,recovery,1,21990788
,possible,1,21990788
,btype natriuretic peptide,1,21977165
,natriuretic,1,21977165
,natriuretic peptide,1,21977165
,peptide,1,21977165
,bnp,1,21977165
,ventricular,1,21977165
,patients,1,21977165
,elevation,1,21977165
,myocardial,1,21977165
,myocardial infarction,1,21977165
,infarction,1,21977165
,stemi,1,21977165
,background,1,21977165
,acute,1,21977165
,acute myocardial infarction,1,21977165
,myocardial,1,21977165
,myocardial infarction,1,21977165
,infarction,2,21977165
,ami,4,21977165
,ventricular,2,21977165
,function,2,21977165
,prognostic,2,21977165
,prognostic marker,2,21977165
,marker,2,21977165
,recent,1,21977165
,studies,1,21977165
,serum,3,21977165
,levels,5,21977165
,brain,1,21977165
,brain natriuretic peptide,1,21977165
,natriuretic,1,21977165
,natriuretic peptide,1,21977165
,peptide,1,21977165
,bnp,6,21977165
,setting,1,21977165
,far,1,21977165
,precise,1,21977165
,cutoff,1,21977165
,value,4,21977165
,objective,1,21977165
,aim,1,21977165
,study,1,21977165
,predictive,2,21977165
,predictive value,2,21977165
,echocardiography,2,21977165
,stemi,3,21977165
,patients,6,21977165
,revascularization,4,21977165
,methods,1,21977165
,prospectively,1,21977165
,cohort,1,21977165
,consecutive,1,21977165
,age,1,21977165
,years,1,21977165
,males,1,21977165
,clinic,1,21977165
,killip,1,21977165
,killip class,1,21977165
,class,1,21977165
,anterior,3,21977165
,anterior infarction,1,21977165
,reperfusion,3,21977165
,reperfusion therapy,1,21977165
,therapy,2,21977165
,admission,2,21977165
,24h,1,21977165
,days,1,21977165
,detailed,1,21977165
,baseline,1,21977165
,hours,3,21977165
,discharge,1,21977165
,followup,1,21977165
,month,1,21977165
,ventricular systolic,1,21977165
,systolic,4,21977165
,diastolic,2,21977165
,diastolic dysfunction,1,21977165
,dysfunction,5,21977165
,lvef,1,21977165
,ratio,1,21977165
,results,1,21977165
,roc,1,21977165
,roc curve,1,21977165
,curve,1,21977165
,analysis,1,21977165
,measurements,1,21977165
,inferior,2,21977165
,only,1,21977165
,sensitivity,1,21977165
,false,1,21977165
,false positive,1,21977165
,positive,1,21977165
,rate,1,21977165
,conclusions,1,21977165
,early,2,21977165
,measurement,1,21977165
,prediction,1,21977165
,risk,1,21977165
,side,1,21930490
,branch,1,21930490
,occlusion,1,21930490
,stents,1,21930490
,results,1,21930490
,spirit,1,21930490
,trial,1,21930490
,aims,1,21930490
,methods,1,21930490
,side,11,21930490
,branch,7,21930490
,occlusion,8,21930490
,subsequent,1,21930490
,stent,5,21930490
,pes,7,21930490
,placement,3,21930490
,spirit,1,21930490
,iii,1,21930490
,trial,1,21930490
,myocardial,2,21930490
,myocardial infarction,2,21930490
,infarction,2,21930490
,stent placement,2,21930490
,factor,1,21930490
,mis,1,21930490
,consecutive,1,21930490
,angiograms,1,21930490
,patients,4,21930490
,independent,2,21930490
,angiographic,1,21930490
,core,1,21930490
,laboratory,1,21930490
,thrombolysis,1,21930490
,flow,1,21930490
,grade,1,21930490
,clinical,1,21930490
,outcomes,1,21930490
,years,1,21930490
,type,1,21930490
,presence,1,21930490
,conclusions,1,21930490
,total,1,21930490
,stented,2,21930490
,lesions,2,21930490
,transient,2,21930490
,final,2,21930490
,significantly,1,21930490
,analysis,1,21930490
,predictor,1,21930490
,nqmi,2,21930490
,less,2,21930490
,frequently,1,21930490
,lower,2,21930490
,arm,1,21930490
,likely,1,21930490
,main,1,21930474
,stenting,1,21930474
,different,1,21930474
,animal,1,21930474
,several,1,21930474
,decades,1,21930474
,cab,3,21930474
,treatment,1,21930474
,choice,1,21930474
,patients,3,21930474
,main,1,21930474
,coronary,2,21930474
,coronary artery,1,21930474
,artery,1,21930474
,lmca,4,21930474
,disease,3,21930474
,marked,1,21930474
,advancements,1,21930474
,techniques,2,21930474
,percutaneous,1,21930474
,percutaneous coronary intervention,1,21930474
,intervention,1,21930474
,stenting,1,21930474
,well,1,21930474
,adjunctive,3,21930474
,pharmacologic,2,21930474
,pharmacologic therapy,1,21930474
,therapy,2,21930474
,new,1,21930474
,evaluation,2,21930474
,review,1,21930474
,current,2,21930474
,indications,1,21930474
,optimal,1,21930474
,revascularisation,2,21930474
,standard,1,21930474
,care,1,21930474
,available,1,21930474
,evidence,1,21930474
,composite,1,21930474
,outcome,1,21930474
,death,1,21930474
,myocardial,1,21930474
,myocardial infarction,1,21930474
,infarction,1,21930474
,stroke,1,21930474
,similar,1,21930474
,pci,2,21930474
,only,1,21930474
,difference,1,21930474
,rate,1,21930474
,repeat,1,21930474
,successfully,1,21930474
,most,1,21930474
,lesions,2,21930474
,anatomic,1,21930474
,subsets,1,21930474
,distal,1,21930474
,bifurcation,1,21930474
,bifurcation lesions,1,21930474
,unique,1,21930474
,technical,1,21930474
,challenges,1,21930474
,interventional,1,21930474
,interventional cardiologists,1,21930474
,cardiologists,1,21930474
,approach,1,21930474
,advanced,1,21930474
,devices,1,21930474
,support,1,21930474
,physiologic,1,21930474
,morphologic,1,21930474
,pharmacologic agents,1,21930474
,clinical,1,21930474
,risk,1,21930473
,stent,1,21930473
,thrombosis,1,21930473
,bifurcation,1,21930473
,bifurcation lesion,1,21930473
,lesion,1,21930473
,technique,1,21930473
,bifurcation,8,21930473
,bifurcation lesions,4,21930473
,lesions,4,21930473
,stenting,4,21930473
,risk,3,21930473
,risk factors,2,21930473
,factors,4,21930473
,stent,3,21930473
,thrombosis,2,21930473
,complex,2,21930473
,process,2,21930473
,device,2,21930473
,patient,2,21930473
,lesion,3,21930473
,strategy,1,21930473
,provisional,1,21930473
,low,2,21930473
,not,1,21930473
,not applicable,1,21930473
,applicable,1,21930473
,patients,1,21930473
,clinical,3,21930473
,scenarios,1,21930473
,consensus,1,21930473
,best,2,21930473
,option,1,21930473
,elective,1,21930473
,stents,2,21930473
,incidence,1,21930473
,excessive,1,21930473
,metal,2,21930473
,scaffolding,1,21930473
,classical,1,21930473
,crush,1,21930473
,technique,2,21930473
,further,1,21930473
,data,1,21930473
,larger,1,21930473
,registries,1,21930473
,studies,2,21930473
,avoidance,1,21930473
,treatment,1,21930473
,type,1,21930473
,issue,1,21930473
,excess,1,21930473
,protruding,1,21930473
,vessel,1,21930473
,wall,1,21930473
,ongoing,1,21930473
,sudden,1,21930473
,occlusion,1,21930473
,stented,1,21930473
,stented coronary artery,1,21930473
,coronary,3,21930473
,coronary artery,1,21930473
,artery,1,21930473
,due,1,21930473
,thrombus,2,21930473
,formation,1,21930473
,major,2,21930473
,improvements,1,21930473
,antiplatelet therapy,1,21930473
,therapy,1,21930473
,events,1,21930473
,primary,1,21930473
,cause,2,21930473
,death,2,21930473
,percutaneous,1,21930473
,percutaneous coronary interventions,1,21930473
,interventions,1,21930473
,consequences,1,21930473
,frequently,1,21930473
,catastrophic,1,21930473
,myocardial,1,21930473
,myocardial infarction,1,21930473
,infarction,1,21930473
,cases,1,21930473
,drugeluting stent era,1,21930473
,era,1,21930473
,very,1,21930473
,late,1,21930473
,concern,1,21930473
,intervention,1,21930473
,exact,1,21930473
,unknown,1,21930473
,pathologic,1,21930473
,arterial,1,21930473
,branch,1,21930473
,development,1,21930473
,atherosclerotic,1,21930473
,atherosclerotic plaque,1,21930473
,plaque,1,21930473
,inflammation,1,21930473
,foci,1,21930473
,shear,1,21930473
,shear stress,1,21930473
,stress,1,21930473
,management,1,21886534
,patients,1,21886534
,dual,1,21886534
,antiplatelet therapy,1,21886534
,therapy,1,21886534
,orthopedic,1,21886534
,orthopedic surgery,1,21886534
,surgery,1,21886534
,cardiovascular,2,21886534
,cardiovascular disease,1,21886534
,disease,1,21886534
,patients,7,21886534
,orthopedic,5,21886534
,orthopedic surgery,1,21886534
,surgery,2,21886534
,many,1,21886534
,previous,1,21886534
,percutaneous,1,21886534
,percutaneous coronary intervention,1,21886534
,coronary,1,21886534
,intervention,1,21886534
,stenting,1,21886534
,dual,2,21886534
,antiplatelet therapy,3,21886534
,therapy,3,21886534
,order,1,21886534
,risk,3,21886534
,stent,2,21886534
,thrombosis,3,21886534
,optimal,1,21886534
,management,3,21886534
,perioperative,2,21886534
,setting,2,21886534
,information,1,21886534
,pci,2,21886534
,stents,2,21886534
,subsequently,1,21886534
,orthopedic procedure,1,21886534
,procedure,1,21886534
,concerns,1,21886534
,cardiologists,1,21886534
,orthopedic surgeons,1,21886534
,surgeons,2,21886534
,addition,1,21886534
,current,1,21886534
,american,3,21886534
,american heart association,1,21886534
,heart,1,21886534
,association,1,21886534
,college,2,21886534
,cardiology,1,21886534
,society,1,21886534
,cardiovascular angiography,1,21886534
,angiography,1,21886534
,interventions,1,21886534
,guidelines,1,21886534
,decision,1,21886534
,patient,1,21886534
,only,1,21886534
,review,1,21886534
,risks,2,21886534
,bleeding,1,21886534
,best,1,21886534
,best practice,1,21886534
,practice,1,21886534
,orthopedic surgeon,1,21886534
,surgeon,1,21886534
,cardiologist,1,21886534
,high,1,21886534
,high risk,1,21886534
,possible,1,21886534
,little,1,21886534
,data,1,21886534
,significantly,1,21886534
,mortality,1,21886534
,perioperatively,1,21886534
,unusual,1,21876578
,presentation,1,21876578
,acute,1,21876578
,acute coronary syndrome,1,21876578
,coronary,1,21876578
,syndrome,1,21876578
,acute,1,21876578
,acute coronary syndrome,1,21876578
,coronary,1,21876578
,syndrome,1,21876578
,elderly,2,21876578
,variety,1,21876578
,atypical,2,21876578
,presentation,2,21876578
,other,1,21876578
,comorbid conditions,1,21876578
,conditions,1,21876578
,acs,1,21876578
,left,1,21876578
,female,1,21876578
,presenting,1,21876578
,sudden,1,21876578
,sudden onset,1,21876578
,onset,1,21876578
,slurred,1,21876578
,slurred speech,1,21876578
,speech,1,21876578
,dizziness,1,21876578
,vomiting,1,21876578
,clinical,1,21876578
,clinical examination,1,21876578
,examination,1,21876578
,investigation,1,21876578
,case,1,21876578
,non,1,21876578
,st elevation,1,21876578
,st elevation myocardial infarction,1,21876578
,elevation,1,21876578
,myocardial,1,21876578
,myocardial infarction,1,21876578
,infarction,1,21876578
,ischaemic,1,21876578
,ischaemic stroke,1,21876578
,stroke,1,21876578
,predictive,1,21874722
,impact,1,21874722
,coronary,1,21874722
,risk,1,21874722
,risk factors,1,21874722
,factors,1,21874722
,southern,1,21874722
,croatia,1,21874722
,case,1,21874722
,case control,1,21874722
,case control study,1,21874722
,control,1,21874722
,study,1,21874722
,aim,1,21874722
,study,2,21874722
,impact,1,21874722
